Questions,Generated pipelines,,,"24 Sep,2025",Remarks,"25 Sep, 2025",Remarks,"26 Sep, 2025",Remarks
,,,,Day Start,,,,,
What is the status of the project Simpo?                              ,"[{""$match"":{""$or"":[{""name"":{""$regex"":""simpo"",""$options"":""i""}},{""projectDoc.name"":{""$regex"":""simpo"",""$options"":""i""}}]}},{""$project"":{""_id"":1,""displayBugNo"":1,""title"":1,""priority"":1,""state.name"":1,""assignee"":1,""project.name"":1,""cycle.name"":1,""modules.name"":1,""createdTimeStamp"":1}}]",,,Working,Generated pipeline is using incorrect field names,,,,
Show me all work items created by Vasiq.,"[{""$match"":{""createdBy.name"":{""$regex"":""Vasiq"",""$options"":""i""}}},{""$project"":{""_id"":1,""displayBugNo"":1,""title"":1,""priority"":1,""state.name"":1,""assignee"":1,""project.name"":1,""cycle.name"":1,""modules.name"":1,""createdTimeStamp"":1}}]",,,Working,,,,,
List all members of the MCU project.,"[{'$match': {'$or': [{'project.name': {'$regex': 'MCU', '$options': 'i'}}, {'projectDoc.name': {'$regex': 'MCU', '$options': 'i'}}]}}, {'$project': {'_id': 1, 'displayBugNo': 1, 'title': 1, 'priority': 1, 'state.name': 1, 'assignee': 1, 'project.name': 1, 'cycle.name': 1, 'modules.name': 1, 'createdTimeStamp': 1}}, {'$limit': 20}]",,,Working,,,,,
What is the start and end date for the cycle titled test?,"[{'$lookup': {'from': 'project', 'let': {'local_project__id': '$project._id'}, 'pipeline': [{'$match': {'$expr': {'$eq': ['$$local_project__id', '$_id']}}}], 'as': 'project'}}, {'$lookup': {'from': 'project', 'let': {'local_project__id': '$project._id'}, 'pipeline': [{'$match': {'$expr': {'$eq': ['$$local_project__id', '$_id']}}}], 'as': 'project'}}, {'$lookup': {'from': 'cycle', 'let': {'local_project__id': '$project._id'}, 'pipeline': [{'$match': {'$expr': {'$eq': ['$$local_project__id', '$project._id']}}}], 'as': 'cycles'}}, {'$unwind': {'path': '$cycles', 'preserveNullAndEmptyArrays': True}}, {'$project': {'_id': 1, 'title': 1, 'status': 1, 'startDate': 1, 'endDate': 1, 'project': 1}}, {'$limit': 20}]",,,Working,,,,,
Find all documentation pages created by anand chikkam.,"[{""$match"":{""createdBy.name"":{""$regex"":""anand chikkam"",""$options"":""i""}}},{""$project"":{""_id"":1,""displayBugNo"":1,""title"":1,""priority"":1,""state.name"":1,""assignee"":1,""project.name"":1,""cycle.name"":1,""modules.name"":1,""createdTimeStamp"":1}}]",,,Working,,,,,
What is the current state of the work item test?,"[{""$project"":{""_id"":1,""displayBugNo"":1,""title"":1,""priority"":1,""state.name"":1,""assignee"":1,""project.name"":1,""cycle.name"":1,""modules.name"":1,""createdTimeStamp"":1}]",,,Working,,,,,
"Show me the details for the project named TEST PMS, which belongs to the Jewellers Book business.","[$match: {\n  \""$or\"": [\n    {\n      \""name\"": {\n        \""$regex\"": \""TEST PMS\"",\n        \""$options\"": \""i\""\n      }\n    },\n    {\n      \""projectDoc.name\"": {\n        \""$regex\"": \""TEST PMS\"",\n        \""$options\"": \""i\""\n      }\n    }\n  ]\n}...\n• $project: {\n  \""_id\"": 1,\n  \""projectDisplayId\"": 1,\n  \""name\"": 1,\n  \""status\"": 1,\n  \""isActive\"": 1,\n  \""isArchived\"": 1,\n  \""createdTimeStamp\"": 1,\n  \""createdBy.name\"": 1\n}\n• $limit: 20]",,,Working,Agent failed to return project 'TEST PMS' because the pipeline uses incorrect field names; it should match business.name      Correction: Working correctly.,,,,
What is the email address for the project member Vikas?,"[{""$project"":{""_id"":1,""projectDisplayId"":1,""name"":1,""status"":1,""isActive"":1,""isArchived"":1,""createdTimeStamp"":1,""createdBy.name"":1}}]",,,Working ,,,,,
List all projects that are marked as inactive.,"[{""$project"":{""_id"":1,""projectDisplayId"":1,""name"":1,""status"":1,""isActive"":1,""isArchived"":1,""createdTimeStamp"":1,""createdBy.name"":1}}]",,,Working,,,,,
Find all work items that are in the completed state.,"[$match: {\n  \""state.name\"": \""Completed\""\n}\n• $limit: 20]",,,Working,,,,,
Which modules are marked as a favourite?,"[""$limit: 20""]",,,Working,,,,,
Show me all documentation pages that have 'PUBLIC' visibility.,"[{""$project"":{""_id"":1,""title"":1,""visibility"":1,""createdAt"":1}}]",,,Working,,,,,
What is the role of  Vikas in Simpo Builder?,"[$project: {\n  \""_id\"": 1,\n  \""displayBugNo\"": 1,\n  \""title\"": 1,\n  \""priority\"": 1,\n  \""state.name\"": 1,\n  \""assignee\"": 1,\n  \""project.name\"": 1,\n  \""cycle.name\"": 1,\n  \""modules.name\"": 1,\n  \""createdTimeStamp\"": 1\n}\n• $limit: 20]",,,Not Working,Problem : Displaying all members name from work items.,,,,
List all cycles that currently active.,"[{""$project"":{""_id"":1,""title"":1,""status"":1,""startDate"":1,""endDate"":1}}]",,,Working,,,,,
What is the priority level for the work item Simpo Tech?,"[{""$match"":{""$or"":[{""name"":{""$regex"":""Simpo Tech"",""$options"":""i""}},{""projectDoc.name"":{""$regex"":""Simpo Tech"",""$options"":""i""}}]}},""$limit"":20]",,,Not Working,,,,,
Show me the list of sub states for a project Simpo.,"[{""$match"":{""$or"":[{""project.name"":{""$regex"":""Simpo"",""$options"":""i""}},{""projectDoc.name"":{""$regex"":""Simpo"",""$options"":""i""}}]}},{""$project"":{""_id"":1,""projectDisplayId"":1,""name"":1,""status"":1,""isActive"":1,""isArchived"":1,""createdTimeStamp"":1,""createdBy.name"":1}}]",,,Working,,,,,
Find all work items that are assigned to the test project.,"[{""$match"":{""$or"":[{""project.name"":{""$regex"":""test"",""$options"":""i""}},{""projectDoc.name"":{""$regex"":""test"",""$options"":""i""}}]}},{""$project"":{""_id"":1,""projectDisplayId"":1,""name"":1,""status"":1,""isActive"":1,""isArchived"":1,""createdTimeStamp"":1,""createdBy.name"":1}}]",,,Working,,,,,
What is the description for the cycle test?,"[{""$match"":{""cycle.name"":{""$regex"":""test?"",""$options"":""i""}}}]",,,Working,,,,,
"List the display ID, name, and status for all projects","[{""$project"":{""_id"":1,""projectDisplayId"":1,""name"":1,""status"":1,""isActive"":1,""isArchived"":1,""createdTimeStamp"":1,""createdBy.name"":1}}]",,,Working,,,,,
Find all projects after September 1.,"{""createdAt"": {""$gt"": ISODate(""2025-09-01T00:00:00Z"")}}",,,Not Working,Problem: Incomplete response from LLM.,,,,
List all tasks with a priority of High for Simpo Builder.,"[{""$match"":{""priority"":""HIGH""}},{""$project"":{""_id"":1,""displayBugNo"":1,""title"":1,""priority"":1,""state.name"":1,""assignee"":1,""project.name"":1,""cycle.name"":1,""modules.name"":1,""createdTimeStamp"":1}}]",,,Not Working,no tasks were found for “Simpo Builder” with high priority; likely a mismatch in project name.,,,,
Find all tasks with title Simpo.,"[{$project: {\n  \""_id\"": 1,\n  \""displayBugNo\"": 1,\n  \""title\"": 1,\n  \""priority\"": 1,\n  \""state.name\"": 1,\n  \""assignee\"": 1,\n  \""project.name\"": 1,\n  \""cycle.name\"": 1,\n  \""modules.name\"": 1,\n  \""createdTimeStamp\"": 1\n}\n• $limit: 20}]",,,Working,,,,,
Get the total count of comments for work item test.,"[{""$project"":{""_id"":1,""displayBugNo"":1,""title"":1,""priority"":1,""state.name"":1,""assignee"":1,""project.name"":1,""cycle.name"":1,""modules.name"":1,""createdTimeStamp"":1}}]",,,Working ,,,,,
Find all work items that are Favourites.,"[""$limit: 20""]",,,Working,,,,,
List all projects that are currently archived.,"[{""$project"":{""_id"":1,""projectDisplayId"":1,""name"":1,""status"":1,""isActive"":1,""isArchived"":1,""createdTimeStamp"":1,""createdBy.name"":1}}]",,,Working,,,,,
Find the project lead's name for project simpo.,"[{""$match"":{""$or"":[{""project.name"":{""$regex"":""lead's name for project simpo."",""$options"":""i""}},{""projectDoc.name"":{""$regex"":""lead's name for project simpo."",""$options"":""i""}}]}}]",,,Not Working,"no documents were found for the project “Simpo,” so the lead’s name could not be retrieved.  Solution: Will work after project.name bug resolved.",,,,
Get a list of all distinct status values across all tasks.,"[{""$project"":{""_id"":1,""displayBugNo"":1,""title"":1,""priority"":1,""state.name"":1,""assignee"":1,""project.name"":1,""cycle.name"":1,""modules.name"":1,""createdTimeStamp"":1}}]",,,Working,,,,,
Find the total number of tasks created in the last 30 days.,"[{""$project"":{""_id"":1,""projectDisplayId"":1,""name"":1,""status"":1,""isActive"":1,""isArchived"":1,""createdTimeStamp"":1,""createdBy.name"":1}}]",,,Working,,,,,
